UF,SITUACAO,ADEQUACAO,n,p
11,Urbano,Adequado,230841.61886169759,17.04925398882136
12,Urbano,Adequado,293889.7279203184,46.400223482007654
13,Urbano,Adequado,1610329.5362075781,48.96161311029568
14,Urbano,Adequado,195782.9195707098,43.27049586863198
15,Urbano,Adequado,1303311.5490773555,21.08005182850083
16,Urbano,Adequado,139412.2329017081,18.81160781444108
17,Urbano,Adequado,450808.81425668724,35.15780160780761
21,Urbano,Adequado,1202064.7742946367,24.9232430934508
22,Urbano,Adequado,226220.613142861,10.539913183891839
23,Urbano,Adequado,3858390.333828157,55.74410117681496
24,Urbano,Adequado,845560.4249905326,30.229425173144055
25,Urbano,Adequado,1752251.1380354613,55.95221819732672
26,Urbano,Adequado,4786715.250704187,60.5439201128813
27,Urbano,Adequado,1158991.8160242762,45.8453951230754
28,Urbano,Adequado,1017981.1054691438,56.57908819484705
29,Urbano,Adequado,6202260.317507445,57.89680862582546
31,Urbano,Adequado,16386303.856326265,88.9203904304011
32,Urbano,Adequado,2954690.7163174064,85.46673301260951
33,Urbano,Adequado,14165417.782061834,84.24497701374646
35,Urbano,Adequado,40434144.8380593,91.64497419507661
41,Urbano,Adequado,7830145.342826257,77.90047710780647
42,Urbano,Adequado,3816216.848933142,62.064522245305035
43,Urbano,Adequado,7303278.344768419,74.07933985528234
50,Urbano,Adequado,1304060.0244516644,53.05727548396568
51,Urbano,Adequado,1248821.6932180033,42.56675629245484
52,Urbano,Adequado,4158256.0780533464,64.28423706708945
53,Urbano,Adequado,2348143.9771772414,82.39841083848316
11,Rural,Adequado,0,0
12,Rural,Adequado,1193.1901575746745,0.5142129759624395
13,Rural,Adequado,0,0
14,Rural,Adequado,0,0
15,Rural,Adequado,54244.35247950194,2.280687736082496
16,Rural,Adequado,2949.22710214652,3.0568860356027563
17,Rural,Adequado,0,0
21,Rural,Adequado,63377.86691438439,2.858022322302751
22,Rural,Adequado,1594.7193821919363,0.14161138703420056
23,Rural,Adequado,78599.95744804105,3.5601578000220453
24,Rural,Adequado,11514.67533551877,1.6224492705894185
25,Rural,Adequado,53961.01111200215,6.237603719540537
26,Rural,Adequado,104610.88695817663,6.565993656120347
27,Rural,Adequado,43957.25393792981,5.480715997879699
28,Rural,Adequado,31215.38806311527,6.251441299284449
29,Rural,Adequado,287074.2832615027,6.932653896142032
31,Rural,Adequado,188821.40761912355,6.916304723239421
32,Rural,Adequado,39356.36805392417,7.055612864606286
33,Rural,Adequado,86855.68518261437,19.307473840796984
35,Rural,Adequado,225575.48451476573,12.586120133287608
41,Rural,Adequado,103753.43356345738,7.578265429116225
42,Rural,Adequado,107628.41464727613,10.717405402500782
43,Rural,Adequado,98567.7622983778,6.571529938119271
50,Rural,Adequado,1617.949864974699,0.6433213185279507
51,Rural,Adequado,1350.7671714891192,0.2718376121389573
52,Rural,Adequado,10372.096037724627,1.8791492342508953
53,Rural,Adequado,505.555558118197,0.3102067458480453
11,Urbano,Semi-adequado,1118032.5703821643,82.57445669552578
12,Urbano,Semi-adequado,330003.1979008761,52.10193034215003
13,Urbano,Semi-adequado,1641388.636621555,49.90595625486987
14,Urbano,Semi-adequado,254529.6466038295,56.25426388555634
15,Urbano,Semi-adequado,4808524.414850736,77.77414690710218
16,Urbano,Semi-adequado,597075.8704764402,80.56651039215365
17,Urbano,Semi-adequado,825065.7241302266,64.34545227382351
21,Urbano,Semi-adequado,3433163.188112376,71.18215469463414
22,Urbano,Semi-adequado,1906871.6968720735,88.8436374503144
23,Urbano,Semi-adequado,3007290.7193136816,43.44783798978508
24,Urbano,Semi-adequado,1944236.3024262462,69.50791934681965
25,Urbano,Semi-adequado,1355229.2748138492,43.274666767689546
26,Urbano,Semi-adequado,3024306.6233517453,38.25240671546715
27,Urbano,Semi-adequado,1353051.2129291475,53.521661344668104
28,Urbano,Semi-adequado,764633.1226359125,42.498082380793186
29,Urbano,Semi-adequado,4466209.55488592,41.6911362382127
31,Urbano,Semi-adequado,2030939.3543676801,11.020906356568
32,Urbano,Semi-adequado,500529.7590266528,14.478213588769144
33,Urbano,Semi-adequado,2645729.269136637,15.734756637059082
35,Urbano,Semi-adequado,3660763.7975594862,8.297210318290787
41,Urbano,Semi-adequado,2221327.5537904347,22.099522892193537
42,Urbano,Semi-adequado,2328440.041733962,37.868267052868475
43,Urbano,Semi-adequado,2550378.67072536,25.86925479071522
50,Urbano,Semi-adequado,1149029.560524559,46.749671632336145
51,Urbano,Semi-adequado,1679916.9782687319,57.26086998157167
52,Urbano,Semi-adequado,2254597.260947232,34.854771349578016
53,Urbano,Semi-adequado,501600.2755123625,17.601589161516845
11,Rural,Semi-adequado,383163.5522035984,92.83862669446462
12,Rural,Semi-adequado,140931.01522563197,60.73512782898121
13,Rural,Semi-adequado,272915.1687647075,39.32259529342271
14,Rural,Semi-adequado,59873.73749443377,68.60106302712052
15,Rural,Semi-adequado,1473742.5025172487,61.96306708435203
16,Rural,Semi-adequado,61128.6767694762,63.3601251851655
17,Rural,Semi-adequado,240251.89653263005,86.60442286109298
21,Rural,Semi-adequado,1384007.2458056554,62.411750273715185
22,Rural,Semi-adequado,855302.6555625382,75.95103987622342
23,Rural,Semi-adequado,1533092.6309200067,69.44089876555284
24,Rural,Semi-adequado,565311.0341361833,79.65387197337583
25,Rural,Semi-adequado,495063.73463080847,57.226714787334984
26,Rural,Semi-adequado,881648.2901338338,55.33742470095393
27,Rural,Semi-adequado,510579.87579728145,63.66055753685188
28,Rural,Semi-adequado,355382.8146126938,71.17178232203028
29,Rural,Semi-adequado,3108110.183618723,75.05880334977616
31,Rural,Semi-adequado,2431172.5486531286,89.05097358016243
32,Rural,Semi-adequado,513994.51121877803,92.14636576025802
33,Rural,Semi-adequado,355454.55852947786,79.01531806433398
35,Rural,Semi-adequado,1514509.110195101,84.50294873522175
41,Rural,Semi-adequado,1240497.703128727,90.6073229159092
42,Rural,Semi-adequado,885623.9416126232,88.1885220323031
43,Rural,Semi-adequado,1389233.600337283,92.62044691672915
50,Rural,Semi-adequado,241208.10589817003,95.90798830374565
51,Rural,Semi-adequado,482628.47740882885,97.1274514352036
52,Rural,Semi-adequado,504417.7480312384,91.38714311050697
53,Rural,Semi-adequado,159708.4674978528,97.9964381586412
11,Urbano,Inadequado,5094.8407972935565,0.37628931565286194
12,Urbano,Inadequado,9487.057864182072,1.4978461758423118
13,Urbano,Inadequado,37245.22913230449,1.1324306348344455
14,Urbano,Inadequado,2150.285568831697,0.47524024581167196
15,Urbano,Inadequado,70841.19303810284,1.145801264396995
16,Urbano,Inadequado,4608.746380146956,0.6218817934052848
17,Urbano,Inadequado,6369.497476166496,0.49674611836889365
21,Urbano,Inadequado,187839.28364696915,3.8946022119150605
22,Urbano,Inadequado,13230.996410342257,0.616449365793759
23,Urbano,Inadequado,55930.834705651476,0.808060833399965
24,Urbano,Inadequado,7346.850892913625,0.2626554800362916
25,Urbano,Inadequado,24211.581658925334,0.7731150349837401
26,Urbano,Inadequado,95164.6460431638,1.2036731716515463
27,Urbano,Inadequado,16001.091754612062,0.6329435322564938
28,Urbano,Inadequado,16603.712564861722,0.9228294243597595
29,Urbano,Inadequado,44141.86686727476,0.4120551359618428
31,Urbano,Inadequado,10817.863950115381,0.05870321303091476
32,Urbano,Inadequado,1903.2641131164723,0.05505339862134399
33,Urbano,Inadequado,3407.6963806393082,0.020266349194467577
35,Urbano,Inadequado,25508.433833032872,0.05781548663259226
41,Urbano,Inadequado,0,0
42,Urbano,Inadequado,4132.644600487612,0.06721070182649798
43,Urbano,Inadequado,5067.912449334696,0.051405354002427225
50,Urbano,Inadequado,4744.920389136646,0.19305288369817672
51,Urbano,Inadequado,5057.093071821788,0.172373725973482
52,Urbano,Inadequado,55693.64509699049,0.8609915833325333
53,Urbano,Inadequado,0,0
11,Rural,Inadequado,29556.417755246333,7.161373305535378
12,Rural,Inadequado,89917.81093141677,38.75065919505635
13,Rural,Inadequado,421126.42927385494,60.67740470657729
14,Rural,Inadequado,27404.41076219526,31.39893697287948
15,Rural,Inadequado,850433.9880370558,35.756245179565475
16,Rural,Inadequado,32400.24637008205,33.582988779231734
17,Rural,Inadequado,37161.06760428954,13.395577138907024
21,Rural,Inadequado,770157.6412259786,34.73022740398206
22,Rural,Inadequado,269226.3186299933,23.907348736742385
23,Rural,Inadequado,596073.5237844628,26.998943434425115
24,Rural,Inadequado,132883.71221860524,18.72367875603476
25,Rural,Inadequado,316067.259748954,36.53568149312447
26,Rural,Inadequado,606963.3028088937,38.09658164292571
27,Rural,Inadequado,247497.74955675294,30.85872646526841
28,Rural,Inadequado,112732.85665427287,22.57677637868527
29,Rural,Inadequado,745715.7938591327,18.008542754081816
31,Rural,Inadequado,110096.9690836855,4.032721696598128
32,Rural,Inadequado,4451.381270121867,0.7980213751357004
33,Rural,Inadequado,7545.008708796702,1.6772080948690402
35,Rural,Inadequado,52171.33583831403,2.9109311314906274
41,Rural,Inadequado,24840.96669112319,1.8144116549745677
42,Rural,Inadequado,10987.108472509666,1.0940725651961214
43,Rural,Inadequado,12119.709421225207,0.8080231451515706
50,Rural,Inadequado,8673.43887149532,3.4486903777263858
51,Rural,Inadequado,12922.990861125298,2.6007109526574443
52,Rural,Inadequado,37167.171833468085,6.733707655242141
53,Rural,Inadequado,2759.7242544254395,1.6933550955107668
