UF,SITUACAO,AGUA,n,p
11,Urbano,1,1330139.9073182913,98.24005407847919
12,Urbano,1,573420.5404303474,90.53341677990046
13,Urbano,1,3175493.6493541007,96.54998433428396
14,Urbano,1,429388.04943559377,94.90017750211572
15,Urbano,1,5649296.420088372,91.37298093792836
16,Urbano,1,714936.3573559393,96.47003054851899
17,Urbano,1,1223572.2475719494,95.42428846224745
21,Urbano,1,4496420.248405495,93.22740113325737
22,Urbano,1,2099637.1199619905,97.82482972982096
23,Urbano,1,6746790.950324394,97.47427419572549
24,Urbano,1,2742854.313426203,98.05911769047279
25,Urbano,1,3066989.5623377,97.93394649652652
26,Urbano,1,7591574.677871978,96.02068783189833
27,Urbano,1,2475106.1965711275,97.9059730918746
28,Urbano,1,1744845.4881827221,96.97799520235158
29,Urbano,1,10479759.790488219,97.82637554277224
31,Urbano,1,18388397.45260598,99.78476508256936
32,Urbano,1,3447244.8264703974,99.71424473836365
33,Urbano,1,16535674.417156745,98.34143493771359
35,Urbano,1,43841635.01958472,99.36813369323264
41,Urbano,1,9964674.083015094,99.13645677111843
42,Urbano,1,6097168.249899183,99.16046426581484
43,Urbano,1,9720460.603951694,98.59754354643236
50,Urbano,1,2447061.142646595,99.56167257416043
51,Urbano,1,2866982.4320327295,97.72263177508947
52,Urbano,1,6218777.284124862,96.13870471086092
53,Urbano,1,2845653.265089388,99.85644369327686
11,Rural,1,381598.77249661705,92.45948833895028
12,Rural,1,137970.6615094725,59.45934434667189
13,Rural,1,268776.6575495434,38.72630377042755
14,Rural,1,58758.01556367748,67.32271105352494
15,Rural,1,1490359.9796073786,62.661743987508224
16,Rural,1,64077.90387162272,66.41701122076826
17,Rural,1,238464.36845178847,85.96006650002568
21,Rural,1,1406225.4299750398,63.413678382196885
22,Rural,1,847255.0580785522,75.23641167597306
23,Rural,1,1531538.9313341079,69.37052448191172
24,Rural,1,514761.36441278236,72.53128515425098
25,Rural,1,512166.3356752322,59.20368381905107
26,Rural,1,916688.3956002736,57.53674751421347
27,Rural,1,514783.24645432056,64.18464579854317
28,Rural,1,355471.86254369264,71.18961576726366
29,Rural,1,3245098.2789438698,78.3669751650685
31,Rural,1,2613812.8096233066,95.74087021598115
32,Rural,1,551917.3973019911,98.9449911452302
33,Rural,1,418485.568297042,93.02671604809959
35,Rural,1,1664550.0265405043,92.87457210597059
41,Rural,1,1331284.1270004301,97.23846362933172
42,Rural,1,965446.9304864813,96.137123105766
43,Rural,1,1482588.636832487,98.8444435145757
50,Rural,1,242826.05576314474,96.55130962227362
51,Rural,1,483979.244580318,97.39928904734255
52,Rural,1,506690.7592822832,91.79895257855557
53,Rural,1,159565.02824846687,97.90842444370048
11,Urbano,2,16700.099297036406,1.233418115666116
12,Urbano,2,54797.490982728916,8.651598155010355
13,Urbano,2,71011.83698711559,2.1590947757207117
14,Urbano,2,21648.661895140776,4.784627469797127
15,Urbano,2,331895.319708448,5.368148963341751
16,Urbano,2,23094.60539975308,3.116273589246164
17,Urbano,2,53149.47924598824,4.145036183398057
21,Urbano,2,174595.41078225058,3.6200078057194154
22,Urbano,2,37320.548220041645,1.7388129788423814
23,Urbano,2,85208.63730935805,1.231051938334794
24,Urbano,2,18024.453170987585,0.6443878430394954
25,Urbano,2,13145.450401248097,0.4197555322905344
26,Urbano,2,140434.21658721994,1.7762573173578473
27,Urbano,2,21297.608949826466,0.8424540052671862
28,Urbano,2,22764.42039557414,1.265239740056064
29,Urbano,2,163727.2156441397,1.5283594666657805
31,Urbano,2,27550.171290866412,0.1495011937461714
32,Urbano,2,7907.098207773122,0.22871898154894116
33,Urbano,2,214964.55820340413,1.2784433571418465
35,Urbano,2,219447.48786520277,0.49738307668252807
41,Urbano,2,73995.88618679252,0.7361695837800984
42,Urbano,2,48784.384149751,0.7933981781282082
43,Urbano,2,127962.89741250285,1.297965998116153
50,Urbano,2,9382.807719817105,0.38175099663279977
51,Urbano,2,58802.431839480865,2.0043123843124357
52,Urbano,2,242798.54709642686,3.753525292362081
53,Urbano,2,3069.0916046982,0.10769708902128936
11,Rural,2,12054.596322691541,2.9207688505825375
