code_muni,despesas
3100104,14680
3100203,82429.96
3100302,
3100401,432428.55
3100500,
3100609,60633.2
3100708,
3100807,346081.31
3100906,114593.25
3101003,5182
3101102,3553577.28
3101201,328897.13
3101300,69699.8
3101409,392292.34
3101508,2590296.44
3101607,
3101631,168928.63
3101706,10245
3101805,18771.95
3101904,
3102001,128498.41
3102050,197630.77
3102100,15000.01
3102209,119182.03
3102308,555757.37
3102407,228712.25
3102506,53030.84
3102605,360267.9
3102704,15208.85
3102803,1408288.77
3102852,2896633.45
3102902,38162.36
3103009,25451.18
3103108,21060.9
3103207,
3103306,473603.72
3103405,
3103504,27918438.4
3103603,106064.73
3103702,345602.12
3103751,1295960.76
3103801,400268.17
3103900,8505
3104007,
3104106,
3104205,330145.25
3104304,47089.82
3104403,692815.87
3104452,59534.18
3104502,54162.52
3104601,447290.2
3104700,4871.88
3104809,128751.5
3104908,1469022.39
3105004,342051.83
3105103,213137.88
3105202,35234.9
3105301,639948.25
3105400,1181599.82
3105509,102798
3105608,20460465.11
3105707,
3105905,
3106002,
3106101,278249.92
3106200,466187280.09
3106309,
3106408,928873.54
3106507,289808.81
3106606,
3106655,23405
3106705,264955.56
3106804,157390.67
3106903,157786.41
3107000,
3107109,7794803.15
3107208,519033.08
3107307,7453447.71
3107406,
3107505,487448.33
3107604,
3107703,379525.02
3107802,52974.5
3107901,
3108008,
3108107,96422.92
3108206,1419333.57
3108255,84997.72
3108305,
3108404,25837
3108503,38014.94
3108552,
3108602,68542.85
3108701,
3108800,42042.43
3108909,
3109006,1447325.04
3109105,85303.13
3109204,116213.93
3109253,169973.4
3109303,53582.9
3109402,4243569.62
3109451,1261889.31
3109501,112931.89
3109600,511033.63
3109709,99500.96
3109808,665593.61
3109907,302802.4
3110004,8549414.63
3110103,
3110202,423339.4
3110301,
3110400,
3110509,4182
3110608,11554160.56
3110707,
3110806,
3110905,
3111002,273955.17
3111101,
3111150,670741.35
3111200,9234434.92
3111309,1861613.9
3111408,
3111507,86020.01
3111606,19146.54
3111705,
3111804,241923.96
3111903,187564.55
3112000,53129.44
3112059,
3112109,
3112208,16108.97
3112307,3629.84
3112406,
3112505,
3112604,97059.49
3112653,1850.5
3112703,103160
3112802,126441.42
3112901,
3113008,
3113107,139364.11
3113206,57771.55
3113305,7211894.33
3113404,
3113503,79699.69
3113602,23399.95
3113701,
3113800,619178.94
3113909,57933.37
3114006,3174267.58
3114105,3127683.04
3114204,4372799.95
3114303,61946.25
3114402,
3114501,5265866.13
3114550,
3114600,146135.74
3114709,
3114808,174842.86
3114907,209058.51
3115003,
3115102,24258.06
3115201,12324.41
3115300,193058.26
3115359,940422.95
3115409,29864.33
3115458,4580
3115474,293192.36
3115508,
3115607,38309.08
3115706,1220804.89
3115805,
3115904,4131.92
3116001,275486.6
3116100,318025.59
3116159,
3116209,511969.27
3116308,120946.75
3116407,268541.14
3116506,352500.47
3116605,244509.62
3116704,891883.23
3116803,78977.89
3116902,
3117009,57028.43
3117108,
3117207,354005.84
3117306,2047614.39
3117405,148786.26
3117504,2481413.37
3117603,198546.4
3117702,920.3
3117801,894125.45
3117836,230916.74
3117876,
3117900,
3118007,
3118106,650757.42
3118205,50.16
3118304,21413.82
3118403,5296243.14
3118502,305938.79
3118601,1441620.56
3118700,590049.86
3118809,551291.12
3118908,24488.6
3119005,11670
3119104,
3119203,28160.68
3119302,
3119401,1615108.68
3119500,
3119609,531366.77
3119708,79570.13
