UF,SITUACAO,ESGOTO,n,p
11,Urbano,1,130671.7682954675,9.651016042183445
12,Urbano,1,297127.8432122591,46.91146718647389
13,Urbano,1,1347739.9047661892,40.9776497957514
14,Urbano,1,152193.97265701176,33.63678853868284
15,Urbano,1,928379.3081900175,15.015814098330958
16,Urbano,1,98723.77123819785,13.32130493745805
17,Urbano,1,397164.8198718422,30.974199041956158
21,Urbano,1,1070428.1392205525,22.19392939412837
22,Urbano,1,147379.3267882168,6.866594904272766
23,Urbano,1,3620494.5026404094,52.30710073468631
24,Urbano,1,709776.5703828417,25.375049600126644
25,Urbano,1,1697104.984861937,54.19131216728835
26,Urbano,1,4659772.816327105,58.938311213390136
27,Urbano,1,1130891.2343630332,44.73384088115921
28,Urbano,1,910925.8048568886,50.62898630933593
29,Urbano,1,7213618.292234383,67.3376247343792
31,Urbano,1,16680478.861815274,90.51673311831294
32,Urbano,1,3010358.1326887324,87.07695644013619
33,Urbano,1,14408023.178030979,85.68780675031186
35,Urbano,1,41140864.37974756,93.24677125101965
41,Urbano,1,7606693.678722631,75.67740327174369
42,Urbano,1,2915446.6625728207,47.41496917158577
43,Urbano,1,5867807.973480513,59.51893390238599
50,Urbano,1,1140247.850301232,46.3923770218098
51,Urbano,1,1062839.5492014613,36.2274553000926
52,Urbano,1,3914823.893576825,60.520916106833916
53,Urbano,1,2565198.8918527323,90.01505624343952
11,Rural,1,653.9302416669091,0.1584440514792917
12,Rural,1,1193.1901575746745,0.5142129759624395
13,Rural,1,0,0
14,Rural,1,70.91296099862308,0.08124938763608223
15,Rural,1,47793.535849650085,2.0094650612246907
16,Rural,1,2949.22710214652,3.0568860356027563
17,Rural,1,929.8047120041684,0.33516988468687975
21,Rural,1,56200.33664566899,2.5343518877218036
22,Rural,1,1090.72592668222,0.09685667151002408
23,Rural,1,68818.11508725397,3.1170926443905884
24,Rural,1,4848.20701348024,0.6831256378044575
25,Rural,1,51595.650514304696,5.964180709885877
26,Rural,1,101465.62250621697,6.3685783866499275
27,Rural,1,54013.72510047331,6.734585551710244
28,Rural,1,36192.09134313495,7.248115386952173
29,Rural,1,247094.40355722824,5.96716626816579
31,Rural,1,194142.4870067506,7.111209564620605
32,Rural,1,39191.85902378846,7.026120508305037
33,Rural,1,91212.42732397818,20.27595028247863
35,Rural,1,187687.64779568728,10.472145445114023
41,Rural,1,70743.64452682126,5.167193963941446
42,Rural,1,94778.77394689286,9.437865895077898
43,Rural,1,45193.02596290275,3.0130269388727378
50,Rural,1,646.7223995787422,0.25714660004317413
51,Rural,1,681.1480249120522,0.1370788811821156
52,Rural,1,3420.84581051674,0.6197667050075942
53,Rural,1,0,0
11,Urbano,2,127838.12380205418,9.44173175055329
