code_muni,MORADIA_ADEQ,MORADIA_ADEQ_PER
3100104,1352,91.78547182620503
3100203,5964,94.45676274944567
3100302,1760,82.2429906542056
3100401,735,88.34134615384616
3100500,514,34.91847826086957
3100609,1253,62.46261216350947
3100708,502,95.43726235741445
3100807,693,91.78807947019868
3100906,3549,86.05722599418041
3101003,1184,48.28711256117455
3101102,5803,90.48807110556682
3101201,665,63.942307692307686
3101300,316,87.29281767955801
3101409,608,95.14866979655712
3101508,8753,83.46524268141509
3101607,21441,98.40286383037312
3101631,1033,87.32037193575654
3101706,8157,87.94609164420486
3101805,1268,73.29479768786126
3101904,4489,98.44298245614034
3102001,3258,97.39910313901345
3102050,1035,78.29046898638427
3102100,1241,78.69372225745086
3102209,601,86.97539797395079
3102308,2970,85.86296617519514
3102407,240,58.252427184466015
3102506,620,81.04575163398692
3102605,9091,97.78423147251802
3102704,489,37.35676088617265
3102803,3055,94.90525007766387
3102852,753,70.90395480225989
3102902,2048,82.34821069561721
3103009,1119,80.61959654178675
3103108,328,93.98280802292264
3103207,359,63.992869875222816
3103306,456,78.75647668393782
3103405,3175,48.20100197358433
3103504,29492,89.73680206907045
3103603,744,86.21089223638471
3103702,676,70.34339229968782
3103751,1609,98.47001223990208
3103801,703,97.23374827109267
3103900,1923,91.52784388386482
3104007,26841,98.02782951681823
3104106,2449,99.1096721974909
3104205,10451,98.03939962476548
3104304,3703,98.45785695293804
3104403,615,85.53546592489569
3104452,367,74.89795918367346
3104502,1194,36.335970785149115
3104601,1574,41.895129092360925
3104700,1588,70.20335985853228
3104809,230,27.0906949352179
3104908,3914,95.4168698196002
3105004,1291,79.88861386138613
3105103,6546,97.83290987894186
3105202,484,85.3615520282187
3105301,1419,91.54838709677419
3105400,6301,83.95736175882746
3105509,1216,88.50072780203784
3105608,32767,89.96979681493686
3105707,694,91.7989417989418
3105905,5269,89.74621018565833
3106002,2313,85.16200294550809
3106101,290,64.87695749440716
3106200,693537,95.02784914191759
3106309,4616,80.93985621602666
3106408,847,83.69565217391305
3106507,868,75.74171029668412
3106606,447,55.7356608478803
3106655,183,25.884016973125885
3106705,94131,85.40205586957114
3106804,284,57.028112449799195
3106903,3692,95.67245400362788
3107000,13,2.1172638436482085
3107109,9555,98.67809563151916
3107208,508,59.624413145539904
3107307,9055,86.04960562577212
3107406,12962,97.31231231231232
3107505,1700,88.77284595300262
3107604,937,95.61224489795919
3107703,696,95.08196721311475
3107802,2174,68.79746835443038
3107901,1661,92.22654081066074
3108008,4288,96.01433049708912
3108107,884,72.22222222222221
3108206,1172,89.53399541634836
3108255,5,0.8532423208191127
3108305,4243,95.54154469714028
3108404,3669,96.85850052798311
3108503,279,28.88198757763975
3108552,777,22.24448897795591
3108602,4171,73.67956191485602
3108701,496,68.88888888888889
3108800,368,81.59645232815964
3108909,2429,92.7807486631016
3109006,5871,67.17391304347827
3109105,1871,96.84265010351967
3109204,945,40.8207343412527
3109253,18,3.7267080745341614
3109303,1680,34.94176372712147
3109402,146,2.260061919504644
3109451,194,11.23335263462652
3109501,2361,97.1604938271605
3109600,1033,96.00371747211895
3109709,2179,98.7313094698686
3109808,682,99.56204379562044
3109907,2159,82.31033168128099
3110004,8937,87.36070381231671
3110103,641,76.95078031212485
3110202,605,95.12578616352201
3110301,2308,84.11078717201165
3110400,453,94.76987447698745
3110509,4065,80.55885850178359
3110608,7230,94.78238070267436
3110707,2825,84.58083832335329
3110806,633,80.63694267515925
3110905,3481,85.31862745098039
3111002,3559,94.20328215987294
3111101,4789,97.5356415478615
3111150,10,2.331002331002331
3111200,15588,97.88383045525903
3111309,2841,98.78303198887343
3111408,1342,95.58404558404558
3111507,3795,97.15821812596006
3111606,5822,96.87188019966723
3111705,479,80.36912751677853
3111804,3134,96.37146371463714
3111903,1147,86.56603773584905
3112000,3282,94.067067927773
3112059,256,35.35911602209944
3112109,411,63.133640552995395
3112208,493,71.24277456647398
3112307,5622,78.83887252839715
3112406,1904,99.32185706833594
3112505,611,25.532804011700794
3112604,4386,94.22126745435017
3112653,960,84.28446005267779
3112703,698,23.51752021563342
3112802,1659,98.75
3112901,982,85.61464690496948
3113008,1426,57.68608414239482
3113107,289,93.83116883116884
3113206,4404,81.67655786350149
3113305,7485,82.13541095138812
3113404,16415,76.70202326994065
3113503,1681,77.35849056603774
3113602,1406,97.16655148583276
3113701,3445,83.65711510441962
3113800,379,92.8921568627451
3113909,2528,98.3657587548638
3114006,2547,96.6236722306525
3114105,2589,87.94157608695652
3114204,5129,92.49774571686203
3114303,7416,93.86153651436527
3114402,4508,96.8005153532317
3114501,3337,96.78074245939675
3114550,1846,76.98081734778982
3114600,722,91.16161616161617
3114709,799,99.13151364764268
3114808,617,72.50293772032902
3114907,260,83.06709265175719
3115003,392,60.122699386503065
3115102,4543,98.56801909307876
3115201,451,52.99647473560517
3115300,19449,88.40454545454546
3115359,929,95.08700102354145
3115409,359,88.86138613861387
3115458,430,87.57637474541752
3115474,38,4.226918798665183
3115508,6714,97.62978042751199
3115607,108,28.421052631578945
3115706,1531,78.79567678847144
3115805,1127,37.971698113207545
3115904,599,90.62027231467474
3116001,634,67.590618336887
3116100,642,41.796875
3116159,358,25.211267605633804
3116209,507,81.7741935483871
3116308,715,77.46478873239437
3116407,664,86.57105606258149
3116506,598,37.53923414940364
3116605,5635,92.37704918032786
3116704,1130,64.46092413006275
3116803,930,81.36482939632546
3116902,408,83.26530612244898
3117009,522,50.679611650485434
3117108,1960,94.14024975984631
3117207,480,99.37888198757764
3117306,5536,88.60435339308579
3117405,439,85.57504873294347
3117504,2076,59.930715935334874
3117603,541,88.25448613376835
3117702,3300,95.56907037358819
3117801,2187,88.72210953346857
3117836,4,0.8333333333333334
3117876,30,1.9218449711723256
3117900,2412,95.94272076372316
3118007,10623,78.67140635414353
3118106,342,41.605839416058394
3118205,1530,92.05776173285199
3118304,30741,91.5755607852483
3118403,5254,89.30817610062893
3118502,297,97.37704918032787
3118601,165148,90.3395912651525
3118700,2006,98.04496578690127
3118809,1182,27.399165507649514
3118908,793,43.90919158361019
3119005,832,95.96309111880046
3119104,5197,80.92494549984428
3119203,1199,76.41810070108349
3119302,6603,87.86427145708583
3119401,23792,78.9592459843356
3119500,1069,56.83147262094631
3119609,570,86.10271903323263
3119708,488,91.55722326454033
3119807,694,92.41011984021304
3119906,563,82.18978102189782
3119955,487,35.730007336757154
3120003,589,91.601866251944
3120102,799,72.17705510388437
3120151,778,76.95351137487636
3120201,2837,98.4385843164469
3120300,501,59.149940968122785
