code_muni,AGUA_ADEQ,ESGOTO_ADEQ,LIXO_ADEQ
3100104,1496,1414,1476
3100203,6618,6523,6553
3100302,2274,1979,2091
3100401,894,801,16
3100500,1401,1369,680
3100609,1957,2192,1263
3100708,516,583,513
3100807,983,898,1015
3100906,4120,3825,3997
3101003,3016,1286,2575
3101102,6600,6646,6175
3101201,1019,936,970
3101300,536,429,479
3101409,614,635,736
3101508,10441,9009,6318
3101607,21817,22011,22057
3101631,1180,1101,1313
3101706,9045,8786,8889
3101805,1655,1643,1122
3101904,4548,4592,4600
3102001,3342,3384,2928
3102050,1321,1055,1419
3102100,1916,1387,1354
3102209,688,732,357
3102308,3307,3483,3167
3102407,420,346,385
3102506,804,711,9
3102605,9284,9774,10401
3102704,952,681,1216
3102803,3188,3169,2646
3102852,1107,890,693
3102902,2569,2248,1667
3103009,1289,1499,1394
3103108,345,445,397
3103207,558,363,547
3103306,579,465,6
3103405,7164,3869,5945
3103504,32688,29965,32847
3103603,861,750,868
3103702,941,755,1105
3103751,1710,1696,1585
3103801,731,713,734
3103900,2127,2067,2075
3104007,28133,28145,28304
3104106,2483,2540,2524
3104205,10608,11038,10937
3104304,3731,3952,3771
3104403,745,645,739
3104452,495,558,430
3104502,3283,1372,3175
3104601,3650,1707,3330
3104700,2578,2226,1830
3104809,859,284,953
3104908,4182,4497,4250
3105004,1991,1405,1174
3105103,6866,6970,6775
3105202,878,752,795
3105301,1508,1494,1588
3105400,7391,7156,7748
3105509,1407,1386,1457
3105608,34928,34931,36098
3105707,970,1211,928
3105905,5867,5364,5420
3106002,2565,2507,2690
3106101,588,516,848
3106200,758768,734989,744274
3106309,5254,5135,5752
3106408,1103,1242,738
3106507,1460,1008,1091
3106606,820,466,661
3106655,713,204,496
3106705,109441,96440,108393
3106804,714,452,262
3106903,3800,3799,3712
3107000,656,14,606
3107109,9831,10354,10209
3107208,891,799,1280
3107307,10880,10279,10046
3107406,13474,13394,13195
3107505,1904,1853,1916
3107604,983,1067,1078
3107703,928,924,960
3107802,2950,2688,2542
3107901,1849,1835,2395
3108008,4722,4748,3227
3108107,1407,966,1445
3108206,1332,1243,1327
3108255,761,14,534
3108305,4403,4691,4696
3108404,3794,3918,4007
3108503,957,291,26
3108552,3395,896,3408
3108602,6103,4562,4789
3108701,843,755,680
3108800,502,471,57
3108909,3107,3059,3607
3109006,8071,6892,9376
3109105,1941,2123,2017
3109204,2296,980,2280
3109253,635,112,701
3109303,4837,1787,4813
3109402,6460,345,5765
3109451,1720,218,1737
3109501,2495,2912,3063
3109600,1091,1072,1098
3109709,2256,2538,2840
3109808,690,691,697
3109907,2601,2260,2426
3110004,10554,9859,10276
3110103,1025,899,963
3110202,689,909,809
3110301,2606,3046,2936
3110400,575,727,300
3110509,4907,4568,5497
3110608,7554,7700,8343
3110707,3357,3166,3364
3110806,789,675,5
3110905,3776,3843,4036
3111002,3851,3978,4328
3111101,4875,5111,4895
3111150,659,154,41
3111200,16112,16208,16382
3111309,3157,3149,3162
3111408,1557,1555,1606
3111507,3869,4001,3927
3111606,5941,6335,6044
3111705,581,595,676
3111804,3236,3298,3305
3111903,1647,1389,1575
3112000,3627,3689,2811
3112059,486,604,469
3112109,600,694,951
3112208,805,524,351
3112307,7451,5883,6803
3112406,1922,2183,1917
3112505,2439,646,2401
3112604,4549,4666,4639
3112653,1124,1155,1146
3112703,2849,741,2310
3112802,2134,2360,2176
3112901,1391,1374,1543
3113008,2019,2210,1893
3113107,506,372,394
3113206,5593,4839,5953
3113305,9172,7806,9163
3113404,20768,19147,19266
3113503,2477,1947,2229
3113602,1435,1479,1650
3113701,4508,4040,3984
3113800,430,495,473
3113909,2578,2763,2584
3114006,3047,2805,2880
3114105,3027,2999,3200
3114204,5513,5471,5681
3114303,7795,8542,8002
3114402,4881,4969,5371
3114501,3889,3636,4257
3114550,2266,2054,2402
3114600,812,908,802
3114709,813,805,1011
3114808,884,723,739
3114907,374,397,385
3115003,660,395,676
3115102,4674,4677,4653
3115201,847,465,835
3115300,21765,19797,21828
3115359,1216,1264,1225
3115409,424,411,396
3115458,548,745,260
3115474,1296,45,889
3115508,6809,6902,6333
3115607,380,123,356
3115706,1927,1676,1799
3115805,2893,1265,2862
3115904,679,784,778
3116001,1061,772,1000
3116100,1717,790,728
3116159,1477,519,993
3116209,688,598,397
3116308,926,771,157
3116407,735,692,862
3116506,2001,673,1480
3116605,6186,6856,6375
3116704,1596,1298,1823
3116803,1319,1228,788
3116902,426,561,501
3117009,1085,737,38
3117108,2095,2076,2141
3117207,556,621,597
3117306,6253,6104,6190
3117405,696,677,586
3117504,3345,2379,2377
3117603,1202,836,1364
3117702,3398,3540,3545
3117801,2650,2436,2679
3117836,1091,9,537
3117876,1625,43,1660
3117900,2437,2702,2548
3118007,13135,10983,13405
3118106,1033,440,16
3118205,1767,1780,1750
3118304,33990,31761,33894
3118403,5985,5743,5532
3118502,307,306,482
3118601,183303,170942,178126
3118700,2136,2028,2042
3118809,4360,1359,1998
3118908,1846,836,1701
3119005,872,854,770
3119104,6255,6158,6013
3119203,1652,1603,1321
3119302,7159,7184,6819
3119401,27564,27589,30549
3119500,1823,1202,1572
3119609,665,599,802
3119708,531,669,878
3119807,742,714,737
3119906,681,584,1090
3119955,1306,510,1360
3120003,633,658,656
3120102,1060,883,1010
3120151,1033,852,888
3120201,2900,2949,2888
3120300,1041,626,648
3120409,1057,986,1220
3120508,2062,1696,2111
3120607,1018,967,1008
3120706,1075,1149,1086
3120805,4067,4068,4099
3120839,1278,1323,1055
3120870,1152,794,893
3120904,20596,18569,19876
3121001,1072,995,957
3121100,1115,1354,1651
3121209,1613,1745,1624
3121258,2199,2302,2090
3121308,1321,1341,1355
3121407,1243,1142,1053
3121506,457,372,13
3121605,11359,9831,9488
3121704,558,480,3
3121803,2099,1916,1854
3121902,722,499,755
3122009,3459,3271,3169
3122108,1263,1179,1075
3122207,1396,1148,726
3122306,63850,60298,64644
3122355,1581,38,1156
3122405,1429,1348,1460
3122454,1868,237,1841
3122470,750,526,847
3122504,1442,1329,560
3122603,939,780,283
3122702,1251,797,1374
3122801,669,612,21
3122900,1555,1068,1607
3123007,2648,2471,2616
3123106,664,498,320
3123205,4501,4413,4496
3123304,546,481,182
3123403,392,434,385
3123502,456,447,212
3123528,944,833,672
3123601,6324,6766,6376
3123700,2261,2474,1374
3123809,1521,447,1233
3123858,1188,932,683
3123908,3283,2826,3170
3124005,3364,3038,1585
3124104,12944,4397,14325
3124203,5021,4193,4536
3124302,6653,192,4310
3124401,767,742,940
3124500,1825,1843,2331
3124609,601,594,634
3124708,993,684,941
3124807,1871,1790,1844
3124906,2561,2640,2170
3125002,1033,1001,1033
3125101,6677,6930,6107
3125200,538,417,605
3125309,858,737,814
3125408,1139,8,617
