ANO,UF,SITUACAO,ADEQUACAO,AGUA,ESGOTO,LIXO,DOMICILIOS
2010,11,Rural,Adequado,Adequado,Adequado,Adequado,884
2010,11,Rural,Adequado,Adequado,Adequado,Inadequado,0
2010,11,Rural,Adequado,Adequado,Inadequado,Adequado,0
2010,11,Rural,Adequado,Adequado,Inadequado,Inadequado,0
2010,11,Rural,Adequado,Inadequado,Adequado,Adequado,0
2010,11,Rural,Adequado,Inadequado,Adequado,Inadequado,0
2010,11,Rural,Adequado,Inadequado,Inadequado,Adequado,0
2010,11,Rural,Adequado,Inadequado,Inadequado,Inadequado,0
2010,11,Rural,Inadequado,Adequado,Adequado,Adequado,0
2010,11,Rural,Inadequado,Adequado,Adequado,Inadequado,0
2010,11,Rural,Inadequado,Adequado,Inadequado,Adequado,0
2010,11,Rural,Inadequado,Adequado,Inadequado,Inadequado,0
2010,11,Rural,Inadequado,Inadequado,Adequado,Adequado,0
2010,11,Rural,Inadequado,Inadequado,Adequado,Inadequado,0
2010,11,Rural,Inadequado,Inadequado,Inadequado,Adequado,0
2010,11,Rural,Inadequado,Inadequado,Inadequado,Inadequado,97275
2010,11,Rural,Semi-adequado,Adequado,Adequado,Adequado,0
2010,11,Rural,Semi-adequado,Adequado,Adequado,Inadequado,43
2010,11,Rural,Semi-adequado,Adequado,Inadequado,Adequado,2115
2010,11,Rural,Semi-adequado,Adequado,Inadequado,Inadequado,1035
2010,11,Rural,Semi-adequado,Inadequado,Adequado,Adequado,599
2010,11,Rural,Semi-adequado,Inadequado,Adequado,Inadequado,7925
2010,11,Rural,Semi-adequado,Inadequado,Inadequado,Adequado,6181
2010,11,Rural,Semi-adequado,Inadequado,Inadequado,Inadequado,0
2010,11,Urbano,Adequado,Adequado,Adequado,Adequado,49379
2010,11,Urbano,Adequado,Adequado,Adequado,Inadequado,0
2010,11,Urbano,Adequado,Adequado,Inadequado,Adequado,0
2010,11,Urbano,Adequado,Adequado,Inadequado,Inadequado,0
2010,11,Urbano,Adequado,Inadequado,Adequado,Adequado,0
2010,11,Urbano,Adequado,Inadequado,Adequado,Inadequado,0
2010,11,Urbano,Adequado,Inadequado,Inadequado,Adequado,0
2010,11,Urbano,Adequado,Inadequado,Inadequado,Inadequado,0
2010,11,Urbano,Inadequado,Adequado,Adequado,Adequado,0
2010,11,Urbano,Inadequado,Adequado,Adequado,Inadequado,0
2010,11,Urbano,Inadequado,Adequado,Inadequado,Adequado,0
2010,11,Urbano,Inadequado,Adequado,Inadequado,Inadequado,0
2010,11,Urbano,Inadequado,Inadequado,Adequado,Adequado,0
2010,11,Urbano,Inadequado,Inadequado,Adequado,Inadequado,0
2010,11,Urbano,Inadequado,Inadequado,Inadequado,Adequado,0
2010,11,Urbano,Inadequado,Inadequado,Inadequado,Inadequado,19977
2010,11,Urbano,Semi-adequado,Adequado,Adequado,Adequado,0
2010,11,Urbano,Semi-adequado,Adequado,Adequado,Inadequado,4491
2010,11,Urbano,Semi-adequado,Adequado,Inadequado,Adequado,109797
2010,11,Urbano,Semi-adequado,Adequado,Inadequado,Inadequado,10839
2010,11,Urbano,Semi-adequado,Inadequado,Adequado,Adequado,36716
2010,11,Urbano,Semi-adequado,Inadequado,Adequado,Inadequado,3073
2010,11,Urbano,Semi-adequado,Inadequado,Inadequado,Adequado,112344
2010,11,Urbano,Semi-adequado,Inadequado,Inadequado,Inadequado,0
2010,12,Rural,Adequado,Adequado,Adequado,Adequado,208
2010,12,Rural,Adequado,Adequado,Adequado,Inadequado,0
2010,12,Rural,Adequado,Adequado,Inadequado,Adequado,0
2010,12,Rural,Adequado,Adequado,Inadequado,Inadequado,0
2010,12,Rural,Adequado,Inadequado,Adequado,Adequado,0
2010,12,Rural,Adequado,Inadequado,Adequado,Inadequado,0
2010,12,Rural,Adequado,Inadequado,Inadequado,Adequado,0
2010,12,Rural,Adequado,Inadequado,Inadequado,Inadequado,0
2010,12,Rural,Inadequado,Adequado,Adequado,Adequado,0
2010,12,Rural,Inadequado,Adequado,Adequado,Inadequado,0
2010,12,Rural,Inadequado,Adequado,Inadequado,Adequado,0
2010,12,Rural,Inadequado,Adequado,Inadequado,Inadequado,0
2010,12,Rural,Inadequado,Inadequado,Adequado,Adequado,0
2010,12,Rural,Inadequado,Inadequado,Adequado,Inadequado,0
2010,12,Rural,Inadequado,Inadequado,Inadequado,Adequado,0
2010,12,Rural,Inadequado,Inadequado,Inadequado,Inadequado,26093
2010,12,Rural,Semi-adequado,Adequado,Adequado,Adequado,0
2010,12,Rural,Semi-adequado,Adequado,Adequado,Inadequado,136
2010,12,Rural,Semi-adequado,Adequado,Inadequado,Adequado,623
2010,12,Rural,Semi-adequado,Adequado,Inadequado,Inadequado,2030
2010,12,Rural,Semi-adequado,Inadequado,Adequado,Adequado,423
2010,12,Rural,Semi-adequado,Inadequado,Adequado,Inadequado,3693
2010,12,Rural,Semi-adequado,Inadequado,Inadequado,Adequado,2063
2010,12,Rural,Semi-adequado,Inadequado,Inadequado,Inadequado,0
2010,12,Urbano,Adequado,Adequado,Adequado,Adequado,36862
2010,12,Urbano,Adequado,Adequado,Adequado,Inadequado,0
2010,12,Urbano,Adequado,Adequado,Inadequado,Adequado,0
2010,12,Urbano,Adequado,Adequado,Inadequado,Inadequado,0
2010,12,Urbano,Adequado,Inadequado,Adequado,Adequado,0
2010,12,Urbano,Adequado,Inadequado,Adequado,Inadequado,0
