UF,SITUACAO,ADEQUACAO,AGUA,ESGOTO,LIXO,n
11,Rural,Adequado,Adequado,Adequado,Adequado,0
11,Rural,Adequado,Adequado,Adequado,Inadequado,0
11,Rural,Adequado,Adequado,Inadequado,Adequado,0
11,Rural,Adequado,Adequado,Inadequado,Inadequado,0
11,Rural,Adequado,Inadequado,Adequado,Adequado,0
11,Rural,Adequado,Inadequado,Adequado,Inadequado,0
11,Rural,Adequado,Inadequado,Inadequado,Adequado,0
11,Rural,Adequado,Inadequado,Inadequado,Inadequado,0
11,Rural,Inadequado,Adequado,Adequado,Adequado,0
11,Rural,Inadequado,Adequado,Adequado,Inadequado,0
11,Rural,Inadequado,Adequado,Inadequado,Adequado,0
11,Rural,Inadequado,Adequado,Inadequado,Inadequado,0
11,Rural,Inadequado,Inadequado,Adequado,Adequado,0
11,Rural,Inadequado,Inadequado,Adequado,Inadequado,0
11,Rural,Inadequado,Inadequado,Inadequado,Adequado,0
11,Rural,Inadequado,Inadequado,Inadequado,Inadequado,29556
11,Rural,Semi-adequado,Adequado,Adequado,Adequado,0
11,Rural,Semi-adequado,Adequado,Adequado,Inadequado,17162
11,Rural,Semi-adequado,Adequado,Inadequado,Adequado,8681
11,Rural,Semi-adequado,Adequado,Inadequado,Inadequado,355757
11,Rural,Semi-adequado,Inadequado,Adequado,Adequado,0
11,Rural,Semi-adequado,Inadequado,Adequado,Inadequado,1565
11,Rural,Semi-adequado,Inadequado,Inadequado,Adequado,0
11,Rural,Semi-adequado,Inadequado,Inadequado,Inadequado,0
11,Urbano,Adequado,Adequado,Adequado,Adequado,230842
11,Urbano,Adequado,Adequado,Adequado,Inadequado,0
11,Urbano,Adequado,Adequado,Inadequado,Adequado,0
11,Urbano,Adequado,Adequado,Inadequado,Inadequado,0
11,Urbano,Adequado,Inadequado,Adequado,Adequado,0
11,Urbano,Adequado,Inadequado,Adequado,Inadequado,0
11,Urbano,Adequado,Inadequado,Inadequado,Adequado,0
11,Urbano,Adequado,Inadequado,Inadequado,Inadequado,0
11,Urbano,Inadequado,Adequado,Adequado,Adequado,0
11,Urbano,Inadequado,Adequado,Adequado,Inadequado,0
11,Urbano,Inadequado,Adequado,Inadequado,Adequado,0
11,Urbano,Inadequado,Adequado,Inadequado,Inadequado,0
11,Urbano,Inadequado,Inadequado,Adequado,Adequado,0
11,Urbano,Inadequado,Inadequado,Adequado,Inadequado,0
11,Urbano,Inadequado,Inadequado,Inadequado,Adequado,0
