exercicio,instituicao,cod_ibge,uf,anexo,rotulo,coluna,cod_conta,conta,valor,populacao,cod_interno
2014,Prefeitura Municipal de Abadia dos Dourados - MG,3100104,MG,DCA-Anexo I-E,NA,Despesas Empenhadas,TotalDespesas,17 - Saneamento,538793.57,6992,17
2014,Prefeitura Municipal de Abadia dos Dourados - MG,3100104,MG,DCA-Anexo I-E,NA,Despesas Liquidadas,TotalDespesas,17 - Saneamento,538793.57,6992,17
2014,Prefeitura Municipal de Abadia dos Dourados - MG,3100104,MG,DCA-Anexo I-E,NA,Despesas Pagas,TotalDespesas,17 - Saneamento,538043.57,6992,17
2014,Prefeitura Municipal de Abadia dos Dourados - MG,3100104,MG,DCA-Anexo I-E,NA,Inscrição de RP Processados,TotalDespesas,17 - Saneamento,750,6992,17
2014,Prefeitura Municipal de Abaeté - MG,3100203,MG,DCA-Anexo I-E,NA,Despesas Empenhadas,TotalDespesas,17 - Saneamento,6823.53,23494,17
2014,Prefeitura Municipal de Abaeté - MG,3100203,MG,DCA-Anexo I-E,NA,Despesas Liquidadas,TotalDespesas,17 - Saneamento,6566.66,23494,17
2014,Prefeitura Municipal de Abaeté - MG,3100203,MG,DCA-Anexo I-E,NA,Despesas Pagas,TotalDespesas,17 - Saneamento,5136.66,23494,17
2014,Prefeitura Municipal de Abaeté - MG,3100203,MG,DCA-Anexo I-E,NA,Inscrição de RP Não Processados,TotalDespesas,17 - Saneamento,256.87,23494,17
2014,Prefeitura Municipal de Abaeté - MG,3100203,MG,DCA-Anexo I-E,NA,Inscrição de RP Processados,TotalDespesas,17 - Saneamento,1430,23494,17
2014,Prefeitura Municipal de Acaiaca - MG,3100401,MG,DCA-Anexo I-E,NA,Despesas Empenhadas,TotalDespesas,17 - Saneamento,1795789.02,4050,17
2014,Prefeitura Municipal de Acaiaca - MG,3100401,MG,DCA-Anexo I-E,NA,Despesas Liquidadas,TotalDespesas,17 - Saneamento,1795789.02,4050,17
2014,Prefeitura Municipal de Acaiaca - MG,3100401,MG,DCA-Anexo I-E,NA,Despesas Pagas,TotalDespesas,17 - Saneamento,1482648.72,4050,17
2014,Prefeitura Municipal de Acaiaca - MG,3100401,MG,DCA-Anexo I-E,NA,Inscrição de RP Processados,TotalDespesas,17 - Saneamento,313140.3,4050,17
2014,Prefeitura Municipal de Açucena - MG,3100500,MG,DCA-Anexo I-E,NA,Despesas Empenhadas,TotalDespesas,17 - Saneamento,88945.45,10216,17
2014,Prefeitura Municipal de Açucena - MG,3100500,MG,DCA-Anexo I-E,NA,Despesas Liquidadas,TotalDespesas,17 - Saneamento,88945.45,10216,17
2014,Prefeitura Municipal de Açucena - MG,3100500,MG,DCA-Anexo I-E,NA,Despesas Pagas,TotalDespesas,17 - Saneamento,58891.35,10216,17
2014,Prefeitura Municipal de Açucena - MG,3100500,MG,DCA-Anexo I-E,NA,Inscrição de RP Processados,TotalDespesas,17 - Saneamento,30054.1,10216,17
2014,Prefeitura Municipal de Água Boa - MG,3100609,MG,DCA-Anexo I-E,NA,Despesas Empenhadas,TotalDespesas,17 - Saneamento,46478.02,14856,17
2014,Prefeitura Municipal de Água Boa - MG,3100609,MG,DCA-Anexo I-E,NA,Despesas Liquidadas,TotalDespesas,17 - Saneamento,46478.02,14856,17
2014,Prefeitura Municipal de Água Boa - MG,3100609,MG,DCA-Anexo I-E,NA,Despesas Pagas,TotalDespesas,17 - Saneamento,46478.02,14856,17
2014,Prefeitura Municipal de Água Comprida - MG,3100708,MG,DCA-Anexo I-E,NA,Despesas Empenhadas,TotalDespesas,17 - Saneamento,862313.76,2067,17
2014,Prefeitura Municipal de Água Comprida - MG,3100708,MG,DCA-Anexo I-E,NA,Despesas Liquidadas,TotalDespesas,17 - Saneamento,862313.76,2067,17
2014,Prefeitura Municipal de Água Comprida - MG,3100708,MG,DCA-Anexo I-E,NA,Despesas Pagas,TotalDespesas,17 - Saneamento,862313.76,2067,17
